Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
UGA,1987-01-01,1987-12-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7021,Annual value,,42.841266666700001,X
UGA,1987-01-01,1987-01-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7001,January,,42.841266666700001,X
UGA,1987-02-01,1987-02-28,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7002,February,,14.000000000000000,X
UGA,1987-03-01,1987-03-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7003,March,,14.000000000000000,X
UGA,1987-04-01,1987-04-30,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7004,April,,14.000000000000000,X
UGA,1987-05-01,1987-05-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7005,May,,38.095199999999998,X
UGA,1987-06-01,1987-06-30,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7006,June,,60.000000000000000,X
UGA,1987-07-01,1987-07-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7007,July,,60.000000000000000,X
UGA,1987-08-01,1987-08-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7008,August,,60.000000000000000,X
UGA,1987-09-01,1987-09-30,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7009,September,,60.000000000000000,X
UGA,1987-10-01,1987-10-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7010,October,,60.000000000000000,X
UGA,1987-11-01,1987-11-30,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7011,November,,60.000000000000000,X
UGA,1987-12-01,1987-12-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1987,1987,7012,December,,60.000000000000000,X
UGA,1988-01-01,1988-12-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7021,Annual value,,106.135833333300000,X
UGA,1988-01-01,1988-01-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7001,January,,60.000000000000000,X
UGA,1988-02-01,1988-02-29,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7002,February,,60.000000000000000,X
UGA,1988-03-01,1988-03-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7003,March,,60.000000000000000,X
UGA,1988-04-01,1988-04-30,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7004,April,,60.000000000000000,X
UGA,1988-05-01,1988-05-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7005,May,,60.000000000000000,X
UGA,1988-06-01,1988-06-30,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7006,June,,60.000000000000000,X
UGA,1988-07-01,1988-07-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7007,July,,150.000000000000000,X
UGA,1988-08-01,1988-08-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7008,August,,150.000000000000000,X
UGA,1988-09-01,1988-09-30,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7009,September,,150.000000000000000,X
UGA,1988-10-01,1988-10-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7010,October,,150.000000000000000,X
UGA,1988-11-01,1988-11-30,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7011,November,,150.000000000000000,X
UGA,1988-12-01,1988-12-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1988,1988,7012,December,,163.630000000000000,X
UGA,1989-01-01,1989-12-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1989,1989,7021,Annual value,,223.091606308100010,X
UGA,1989-01-01,1989-01-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1989,1989,7001,January,,164.989275697100000,X
UGA,1989-02-01,1989-02-28,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1989,1989,7002,February,,165.000000000000000,X
UGA,1989-03-01,1989-03-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1989,1989,7003,March,,191.660000000000000,X
UGA,1989-04-01,1989-04-30,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1989,1989,7004,April,,200.000000000000000,X
UGA,1989-05-01,1989-05-31,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1989,1989,7005,May,,200.000000000000000,X
UGA,1989-06-01,1989-06-30,226,'800,Uganda,LCU,Local currency units per USD,UGX,Uganda Shilling,1989,1989,7006,June,,200.000000000000000,X
